source,date posted,title,description,url,transmission,location,year,price,mileage
autoTRADER,,2011 chevrolet cruze ls,"comes with all power option, has aux, ac and heat works fine , nice music system, nice and clean ...",http://wwwb.autotrader.ca/a/Chevrolet/Cruze/Scarborough/Ontario/5_28233316_20160614182528492/?showcpo=ShowCPO&orup=26_10000_83,,within 44 km,"$8,990",2011,"56,385"
autoTRADER,,2013 kia rio lx+ auto air power grp low finance,"*carloan centre everybody gets approved conditions apply *

call (905)455-0227 

*buy sell tr...",http://wwwb.autotrader.ca/a/Kia/Rio/Brampton/Ontario/5_28045034_20110405114339436/?showcpo=ShowCPO&orup=27_10000_83,,within 25 km,"$8,990",2013,"76,890"
autoTRADER,,2012 hyundai accent gl-rustproofed-one owner-certified,"professionally rustproofed .one owner,locally traded canadian car..the balance of 5 years/100,000...",http://wwwb.autotrader.ca/a/Hyundai/Accent/Mississauga/Ontario/5_28843497_ON20071126104142639/?showcpo=ShowCPO&orup=28_10000_83,,within 8 km,"$8,990",2012,"78,248"
autoTRADER,,2012 volkswagen jetta,grand opening sales!!!!! this vehicle is well equipped to provide you such great driving experien...,http://wwwb.autotrader.ca/a/Volkswagen/Jetta/Ajax/Ontario/5_28769754_20160706154719086/?ursrc=hl&showcpo=ShowCPO&orup=29_10000_83,,within 69 km,"$8,988",2012,"61,123"
autoTRADER,,2011 ford fiesta se,"2011 ford fiesta se equipped with a 1.6l engine, automatic transmission, climate control ac syste...",http://wwwb.autotrader.ca/a/Ford/Fiesta/Milton/Ontario/5_28345505_ON20071203105134834/?ursrc=hl&showcpo=ShowCPO&orup=30_10000_83,,within 14 km,"$8,988",2011,"59,034"
autoTRADER,,"2011 chevrolet aveo ls| only 15,341 km's| great on gas|","auxiliary outlet, air conditioning, cd player, am/fm stereo, are just a few of the options in thi...",http://wwwb.autotrader.ca/a/Chevrolet/Aveo/Burlington/Ontario/5_26130840_20141126161143884/?ursrc=hl&showcpo=ShowCPO&orup=31_10000_83,,within 11 km,"$8,988",2011,"15,341"
autoTRADER,,2013 chrysler 200 lx,"very nice &reliable ,low km&low price, this car been in accident but now is perfect cond....",http://wwwb.autotrader.ca/a/Chrysler/200/BOLTON/Ontario/19_9569035_/?showcpo=ShowCPO&orup=32_10000_83,,within 48 km,"$8,975",2013,"56,387"
autoTRADER,,"2011 toyota yaris automatic w/ 41,000km!","only 41,000km! dealer certified pre-owned. this toyota yaris boasts a gas i4 1.5l/91 engine power...",http://wwwb.autotrader.ca/a/Toyota/Yaris/Guelph/Ontario/5_28823833_ON20070730101826524/?showcpo=ShowCPO&orup=33_10000_83,,within 42 km,"$8,975",2011,"41,000"
autoTRADER,,2012 ford focus se.loaded..aloy rims,directly from ford canada. all service records available. 1 owner. off lease. . loaded with all p...,http://wwwb.autotrader.ca/a/Ford/Focus/Toronto/Ontario/5_28307164_ON20071113113204381/?showcpo=ShowCPO&orup=34_10000_83,,within 29 km,"$8,950",2012,"80,000"
autoTRADER,,2010 chevrolet malibu lt | auto | only 49km | sunroof,"2010 chevrolet malibu- 4cyl - alloy wheels -- sunroof, bluetooth, and much much more ... come in ...",http://wwwb.autotrader.ca/a/Chevrolet/Malibu/Aurora/Ontario/5_28758154_20160809174424003/?showcpo=ShowCPO&orup=35_10000_83,,within 64 km,"$8,949",2010,"49,997"
autoTRADER,,2012 nissan versa sl,"for sale by first owner
well maintained vehicle
tires 80% and above with tread
bluetooth 
navigat...",http://wwwb.autotrader.ca/a/Nissan/Versa/BRAMPTON/Ontario/19_9535739_/?showcpo=ShowCPO&orup=36_10000_83,,within 33 km,"$8,900",2012,"70,123"
autoTRADER,,2012 ford focus,excellent condition. emission and safety.,http://wwwb.autotrader.ca/a/Ford/Focus/SCARBOROUGH/Ontario/19_9549646_/?showcpo=ShowCPO&orup=37_10000_83,,within 48 km,"$8,900",2012,"64,000"
autoTRADER,,2011 chevrolet cruze,"excellent condition, original owner, no accidents, certified, non-smoker, 4 cylinder, 1.8l",http://wwwb.autotrader.ca/a/Chevrolet/Cruze/ST+CATHARINES/Ontario/19_9588483_/?showcpo=ShowCPO&orup=38_10000_83,,within 48 km,"$8,900",2011,"76,500"
autoTRADER,,2010 toyota yaris,"am/fm stereo, air conditioning, anti-lock brakes (abs), cd player, driver side airbag, dual airba...",http://wwwb.autotrader.ca/a/Toyota/Yaris/Cambridge/Ontario/5_28881659_ON20080611093935793/?showcpo=ShowCPO&orup=39_10000_83,,within 46 km,"$8,900",2010,"53,010"
autoTRADER,,2012 nissan versa 1.6 sv (cvt) accident free,"just like new , great condition local trade in only 78000 kms . fully certified and emission test...",http://wwwb.autotrader.ca/a/Nissan/Versa/Mississauga/Ontario/5_28621017_ON20080206114327226/?showcpo=ShowCPO&orup=40_10000_83,,within 20 km,"$8,900",2012,"78,020"
autoTRADER,,2011 nissan sentra 4dr sdn i4 cvt 2.0,"buy with confidence all our vehicles comes with new brakes all around, oil sprayed, certified and...",http://wwwb.autotrader.ca/a/Nissan/Sentra/Cambridge/Ontario/5_28999677_20100517123929314/?showcpo=ShowCPO&orup=41_10000_83,,within 45 km,"$8,895",2011,"73,000"
autoTRADER,,2012 hyundai accent gl | power windows | keyless remote,another fantastic new arrival. 2012 accent 4 door gl. everything you need including power windows...,http://wwwb.autotrader.ca/a/Hyundai/Accent/Milton/Ontario/5_28521159_ON20081117094549734/?ursrc=hl&showcpo=ShowCPO&orup=42_10000_83,,within 14 km,"$8,892",2012,"73,994"
